model,organ,contrast_type,25%,Median,75%
UCTransNet,stomach,Arterial,0.7705916613340378,0.8520493507385254,0.8977310657501221
UCTransNet,stomach,Venous,0.793655276298523,0.8624094724655151,0.9041617512702942
UNEST,aorta,Arterial,0.7780703902244568,0.8670064806938171,0.8919548541307449
UNEST,aorta,Venous,0.6873836815357208,0.7746237218379974,0.8478660136461258
UNEST,gall_bladder,Arterial,0.7194983661174774,0.8141185343265533,0.8666450679302216
UNEST,gall_bladder,Venous,0.7430368661880493,0.830479085445404,0.8826647400856018
UNEST,kidney_left,Arterial,0.897005021572113,0.9124388992786407,0.9257156401872634
UNEST,kidney_left,Venous,0.8969200104475021,0.9127930104732513,0.9263621270656587
UNEST,kidney_right,Arterial,0.9081526100635529,0.9224253296852112,0.9341511726379395
UNEST,kidney_right,Venous,0.9055205583572388,0.9204607605934144,0.9324885606765748
UNEST,liver,Arterial,0.948726624250412,0.9557967782020568,0.9609924256801605
UNEST,liver,Venous,0.9567484855651855,0.9616312980651855,0.9654417037963868
UNEST,pancreas,Arterial,0.7284121066331863,0.782572865486145,0.8184479475021362
UNEST,pancreas,Venous,0.7628119587898254,0.810806393623352,0.842063844203949
UNEST,postcava,Arterial,0.662673681974411,0.7411641180515289,0.7994025647640228
UNEST,postcava,Venous,0.7352897822856903,0.7929927706718445,0.8359245955944061
UNEST,spleen,Arterial,0.9284132421016693,0.9436471462249756,0.9549518525600433
UNEST,spleen,Venous,0.9304693192243575,0.9453648626804352,0.9562064111232756
UNEST,stomach,Arterial,0.9028877466917039,0.9259931147098541,0.9401970505714417
UNEST,stomach,Venous,0.9023725986480712,0.9251388907432556,0.9385029673576356
UNETR,aorta,Arterial,0.73989637196064,0.8446599245071411,0.8797228187322617
UNETR,aorta,Venous,0.697359025478363,0.7885039746761322,0.8537600934505463
UNETR,gall_bladder,Arterial,0.6686569303274155,0.8050976693630219,0.8658530861139297
UNETR,gall_bladder,Venous,0.7317820191383362,0.8374727368354797,0.8879503011703491
UNETR,kidney_left,Arterial,0.889188677072525,0.9089104533195496,0.9231092631816865
UNETR,kidney_left,Venous,0.8963886797428131,0.913764089345932,0.9278088510036469
UNETR,kidney_right,Arterial,0.9028187394142151,0.920283854007721,0.9328136444091797
UNETR,kidney_right,Venous,0.9036437273025512,0.9207250475883484,0.9334548115730286
UNETR,liver,Arterial,0.9467858970165253,0.955130398273468,0.9606585204601288
UNETR,liver,Venous,0.9562342166900636,0.9616175889968872,0.9659430980682372
UNETR,pancreas,Arterial,0.666862741112709,0.7555456757545471,0.7988733947277069
UNETR,pancreas,Venous,0.7176063656806946,0.7851170897483826,0.8246385455131531
